earnings_date,revr,ievr,ratio,vol_st,vol_mt,avg_pre,avg_post,normative_implied_vol,normative_realized_vol,skew_ratio,spx_ievr,underlying_price,methodology,ticker,beta_market,beta_smb,beta_hml
2005-01-12,1.1717261234145222,,,0.5554842124164769,0.4740734215242575,,0.5311253333333333,,0.48645292655890876,0.998401427632197,,64.91,ST/MT Ratio (Expanding EWM),AAPL,0.5776028317330548,2.1513092331882433,-1.46964204747761
2005-04-13,0.6147918117474465,,,0.5645669405317928,0.9183058878534872,,0.5798716666666667,,1.329499500572759,1.0709281021427652,,40.32,ST/MT Ratio (Expanding EWM),AAPL,1.3493254423864711,1.7693512571745709,-1.5931252533192495
2005-07-13,1.000605423936164,,,0.348162572172513,0.3479519137552915,,0.513777,,0.37749572959934174,1.0137421268062883,,35.9,ST/MT Ratio (Expanding EWM),AAPL,2.893894301964001,3.4686239706143738,-1.231151425070011
2005-10-11,1.4807404575953778,,,0.5878378807093186,0.3969891399225544,,0.44344425,,0.27937327714644516,1.0261390044551257,,51.4,ST/MT Ratio (Expanding EWM),AAPL,1.7209455261307305,0.654324938976639,-4.776290805064248
2006-01-18,1.1644076726319288,,,0.4251380054991588,0.36511096198654613,,0.4395696,,0.3408389902516941,0.9913093570686305,,71.38,ST/MT Ratio (Expanding EWM),AAPL,0.9957061649861271,1.2773553606129973,-2.0697902864013833
2006-04-19,0.9493636372213394,,,0.4064744406451812,0.4281546340187176,,0.43554519999999997,,0.3727477732365265,0.9594666029262373,,63.99,ST/MT Ratio (Expanding EWM),AAPL,1.9769307041058501,-0.7465477128929097,-2.1043458583933767
2006-07-19,1.4164083069411006,,,0.6820433794911204,0.4815302029427325,,0.43111460000000007,,0.3381868121035799,1.0500339591690933,,57.2,ST/MT Ratio (Expanding EWM),AAPL,1.3719004729075701,1.8559375246567174,-1.8579783515120738
2006-10-18,1.0529372045291057,,,0.32701848356470303,0.31057738501219756,,0.4088,,0.3441781239026123,1.0725004300444212,,73.89,ST/MT Ratio (Expanding EWM),AAPL,0.395652098770034,0.2106209089243175,0.9763404109589041
2007-01-17,1.281657859026768,,,0.5177357494084526,0.4039578470666089,,0.430115,,0.25793516280223583,1.0422788226955995,,85.47,ST/MT Ratio (Expanding EWM),AAPL,1.519644159155566,1.4072562326546794,-3.035220720260427
2007-04-25,1.0193938753777971,1.3524924156057856,1.326761370922048,0.24566113179390958,0.2409874511977671,0.24977275,0.33781574999999997,0.24977275,0.26201022421598263,1.2396478110763827,,95.85,ST/MT Ratio (Expanding EWM),AAPL,1.1825118821860088,1.3667855336958465,-2.3131403611589327
2007-07-25,1.3985129367146196,1.091998985725948,0.7808286624014127,0.551720147877678,0.39450485826307513,0.40423000000000003,0.44141874999999997,0.40423000000000003,0.27700074712661105,0.9810681422531708,,122.34,ST/MT Ratio (Expanding EWM),AAPL,0.4612213332841093,1.0504186002759315,-1.9686114533186754
2007-10-22,1.03916590026328,,,0.35579039914331445,0.3423807488805901,0.37623216666666676,,0.37623216666666676,0.36218115559298153,1.091580807957012,,144.15,ST/MT Ratio (Expanding EWM),AAPL,1.366147119208198,-1.3320504725679636,0.6773799949827927
2008-01-22,1.3368026004695288,1.1097339574934613,0.830140483795952,0.6898816959194582,0.5160684873571829,0.4591058333333333,0.5094853333333335,0.4591058333333333,0.3279561952030125,1.05919448153093,,198.8,ST/MT Ratio (Expanding EWM),AAPL,1.467899766984081,-0.3438824296196626,-2.12846840807182
2008-04-23,0.9302947881417725,1.1649608909313391,1.252249185721338,0.338841659470599,0.36423041791669286,0.40665759999999995,0.47374020000000006,0.40665759999999995,0.4127975263867509,1.1567785893493039,,139.53,ST/MT Ratio (Expanding EWM),AAPL,1.042832812558454,1.411062941184811,-0.5724565977738406
2008-07-21,1.0934648101918112,,,0.35851895325773875,0.32787424882456784,0.4324817142857143,,0.4324817142857143,0.3053690597310289,1.089885751881324,,175.27,ST/MT Ratio (Expanding EWM),AAPL,1.160457055141776,2.207891197603427,-1.6909274679034165
