algorithm,window_id,test_start,test_end,importance_ievr,importance_normative_iv_rv_ratio,importance_SKEW,importance_KURT,importance_IV_RATIO,importance_SMIRK,importance_vol_hl7,importance_vol_hl10,importance_vol_hl21
Linear_Regression,1,2010-07,2010-12,0.42068624228969914,0.18664622960772906,0.011807956311227188,0.013329570501520987,0.049999607319958,0.02334467446736504,8.034509225134636,11.038394200200843,4.86026192019522
Linear_Regression,2,2011-01,2011-06,0.4449770022533908,0.17771018442612013,0.020247186507712046,0.023216297363546662,0.05109558452331026,0.03125390818037215,7.127754069932275,10.34657685108489,4.947923031216655
Linear_Regression,3,2011-07,2011-12,0.460938348067139,0.1475915262742396,0.06887797219748906,0.06184713736770585,0.07923070755662817,0.015937080211557344,2.248246471020906,3.1904987023952303,2.3274411776676924
Linear_Regression,4,2012-01,2012-06,0.49762770906148696,0.14998500585004124,0.07517316986341213,0.0379658468132028,0.08407391250013042,0.01902152665859145,0.5759990584439595,0.6568964741716171,1.262421573841809
Linear_Regression,5,2012-07,2012-12,0.5018659343779686,0.13878404546520384,0.08249709953522845,0.024912126576190834,0.07896010855982928,0.021746267841762413,0.25049335815553775,0.8954623035325568,1.788310961697823
Linear_Regression,6,2013-01,2013-06,0.5000437252971388,0.1423715110529447,0.042502011040093476,0.053398347601600296,0.07870681441852995,0.11181177128257974,1.9723121667734453,3.0009372025294527,2.2873438750456323
Linear_Regression,7,2013-07,2013-12,0.480448251939252,0.1391799748894485,0.0456804830425924,0.011784790359098837,0.08026444505568646,0.035081075379594324,1.8181590262828098,2.4356843812836773,0.5574315169164715
Linear_Regression,8,2014-01,2014-06,0.5020280891299949,0.14338639278424403,0.022872637644841428,0.03643639807093872,0.08906506168753466,0.07872232588792288,1.8863023883865222,1.8853817998076168,1.0886308245458385
Linear_Regression,9,2014-07,2014-12,0.5532307517661178,0.1782015182444357,0.005644230845336466,0.06705878349767486,0.02856549532103881,0.14928385983967496,1.7482014699356676,2.8399457622334405,0.049257613661926575
Linear_Regression,10,2015-01,2015-06,0.5590044409223589,0.1697616599773109,0.01707801090654943,0.07674240196828432,0.052943429179211784,0.16158025934723377,4.359299190872636,6.485896766255694,0.1958144674315315
Linear_Regression,11,2015-07,2015-12,0.5362046032237865,0.16812970543035444,0.05941841626636019,0.09609146769417332,0.05412103868492351,0.20935308358685753,7.862031701277226,12.462250759579424,2.659680919005929
Linear_Regression,12,2016-01,2016-06,0.557362109734834,0.17347782896293304,0.014715564359260875,0.02095970155754284,0.07036395505516345,0.05847594553102314,9.233157034904135,14.114258952020508,2.8651818989015334
Linear_Regression,13,2016-07,2016-12,0.552116019708378,0.20661442872145408,0.017545988415812657,0.018035583533345282,0.01866944685387341,0.05593336877236576,1.5181451895839169,3.651482159521311,0.38224157885847276
Linear_Regression,14,2017-01,2017-06,0.539513966736367,0.2108290910627975,0.025702494032975313,0.008219573307528429,0.034601638056349124,0.03728954475838463,3.480049400981917,5.8580320947463775,0.4434658734279959
Linear_Regression,15,2017-07,2017-12,0.5766737102474588,0.2286252621354809,0.022604994213765783,0.00494592948718527,0.03467858496921025,0.029712131377186188,0.9421554485168533,0.9021471164648596,1.6766535059102559
Linear_Regression,16,2018-01,2018-06,0.5750231082721909,0.23435729438431774,0.0354729748103117,0.013104260441225963,0.032245848811531294,0.003748561891384884,3.6984247643874886,6.11665429019572,0.9641520590470157
Linear_Regression,17,2018-07,2018-12,0.5833023115770894,0.23026312525293716,0.034798432929351523,0.008924273526454531,0.03523553138417216,0.011300112981744308,5.445255356558214,9.724887069335619,2.4815383276806506
Linear_Regression,18,2019-01,2019-06,0.5812547145211383,0.2360227921229631,0.037774975238975,0.017195600295781623,0.017217020228495913,0.0014844096064411721,6.560187726027195,11.673246891877028,3.309765343622718
Linear_Regression,19,2019-07,2019-12,0.573798129870361,0.22791312752608442,0.03811251008146926,0.026342122540579,0.0287141737587175,0.01288247620941137,8.149607801327933,13.628320827255301,3.375849205941287
Linear_Regression,20,2020-01,2020-06,0.5711927460480082,0.23423076354679825,0.05201812883813936,0.03806567486261147,0.013672221318077828,0.02504338178509972,6.568128976892352,11.154107375868131,2.4824129863694444
Linear_Regression,21,2020-07,2020-12,0.5772120434570291,0.24185620086986415,0.06431444251385394,0.05092094625361235,0.015334553475044187,0.04672877000584736,9.042416840507638,15.209770613253424,4.33496752272902
Linear_Regression,22,2021-01,2021-06,0.5712637656684151,0.2297180724616246,0.053350601277583176,0.033980584749145455,0.028925270365059312,0.013793091830601586,14.114735088215065,22.969264775061834,7.104714074930392
Linear_Regression,23,2021-07,2021-12,0.5966583389332288,0.22337964928439225,0.10673174529316887,0.08075907834999328,0.022895572176574907,0.10299834039735697,6.168849599241926,8.849789436322553,0.2730893663797097
Linear_Regression,24,2022-01,2022-06,0.6262875514823241,0.22831823749344554,0.08339006503845943,0.0659509005879114,0.029992569454037363,0.0832047395023049,3.1650213397004765,3.8093065385104925,1.409004979917249
Linear_Regression,25,2022-07,2022-12,0.6045756427692263,0.22798788435186668,0.07654088910992948,0.07275621340996595,0.027903113894282235,0.08423714539187908,6.933361148434745,9.86440124823525,1.1706345728578575
Linear_Regression,26,2023-01,2023-06,0.5889084750952838,0.22191348310898557,0.044164386302283386,0.04991268639628502,0.03413537958554622,0.04763569845437516,4.195823647464001,6.007036722254626,0.01494951883445872
